<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" EmptyLines:ignored") , $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>() , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SurroundingSpaces:ignored")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SurroundingSpaces:ignored") , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" IgnoreHeaderCase:ignored")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" IgnoreHeaderCase:ignored") , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , $z7 = r3.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $z7 = r3.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord> , virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(boolean)>($z7)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(boolean)>($z7) , $r11 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r11 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments> , if $r11 == null goto $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $r11 == null goto $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $r11 == null goto $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> , $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r20 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("HeaderComments:")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r20 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("HeaderComments:") , $r21 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r21 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments> , $r22 = staticinvoke <java.util.Arrays: java.lang.String toString(java.lang.Object[])>($r21)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r22 = staticinvoke <java.util.Arrays: java.lang.String toString(java.lang.Object[])>($r21) , virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r22)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke $r20.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r22) , $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> , if $r12 == null goto $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $r12 == null goto $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , if $r12 == null goto $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>() , $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r15 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Header:")
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r15 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Header:") , $r16 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r16 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> , $r17 = staticinvoke <java.util.Arrays: java.lang.String toString(java.lang.Object[])>($r16)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r17 = staticinvoke <java.util.Arrays: java.lang.String toString(java.lang.Object[])>($r16) , virtualinvoke $r15.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r17)
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , virtualinvoke $r15.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r17) , $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>()
<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()> , $r13 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.String toString()>() , return $r13
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , r3 := @this: org.apache.commons.csv.CSVFormat
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , r3 := @this: org.apache.commons.csv.CSVFormat , $r0 = new java.lang.StringBuilder
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r0 = new java.lang.StringBuilder , specialinvoke $r0.<java.lang.StringBuilder: void <init>()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , specialinvoke $r0.<java.lang.StringBuilder: void <init>()>() , r1 = $r0
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , r1 = $r0 , $r2 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Delimiter=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r2 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Delimiter=<") , $r4 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String delimiter>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r4 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String delimiter> , $r5 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r4)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r5 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r4) , virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $z0 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isEscapeCharacterSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z0 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isEscapeCharacterSet()>() , if $z0 == 0 goto $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z0 == 0 goto $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z0 == 0 goto $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>() , $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r53 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Escape=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r53 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("Escape=<") , $r54 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character escapeCharacter>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r54 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character escapeCharacter> , $r55 = virtualinvoke $r53.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r54)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r55 = virtualinvoke $r53.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r54) , virtualinvoke $r55.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r55.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z1 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isQuoteCharacterSet()>() , if $z1 == 0 goto $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z1 == 0 goto $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z1 == 0 goto $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode> , $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r48 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("QuoteChar=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r48 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("QuoteChar=<") , $r49 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character quoteCharacter>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r49 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character quoteCharacter> , $r50 = virtualinvoke $r48.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r49)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r50 = virtualinvoke $r48.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r49) , virtualinvoke $r50.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r50.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r7 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode> , if $r7 == null goto $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $r7 == null goto $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $r7 == null goto $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>() , $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r43 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("QuoteMode=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r43 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("QuoteMode=<") , $r44 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r44 = r3.<org.apache.commons.csv.CSVFormat: org.apache.commons.csv.QuoteMode quoteMode> , $r45 = virtualinvoke $r43.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r44)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r45 = virtualinvoke $r43.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r44) , virtualinvoke $r45.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r45.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z2 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()>() , if $z2 == 0 goto $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z2 == 0 goto $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z2 == 0 goto $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>() , $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r38 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("CommentStart=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r38 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("CommentStart=<") , $r39 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character commentMarker>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r39 = r3.<org.apache.commons.csv.CSVFormat: java.lang.Character commentMarker> , $r40 = virtualinvoke $r38.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r39)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r40 = virtualinvoke $r38.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>($r39) , virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r40.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z3 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean isNullStringSet()>() , if $z3 == 0 goto $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z3 == 0 goto $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z3 == 0 goto $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator> , $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r33 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("NullString=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r33 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("NullString=<") , $r34 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String nullString>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r34 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String nullString> , $r35 = virtualinvoke $r33.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r34)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r35 = virtualinvoke $r33.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r34) , virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r35.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r8 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator> , if $r8 == null goto $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $r8 == null goto $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $r8 == null goto $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>() , $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32) , $r28 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("RecordSeparator=<")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r28 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("RecordSeparator=<") , $r29 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r29 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String recordSeparator> , $r30 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r29)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r30 = virtualinvoke $r28.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r29) , virtualinvoke $r30.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r30.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(62) , $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z4 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreEmptyLines()>() , if $z4 == 0 goto $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z4 == 0 goto $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" EmptyLines:ignored")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z4 == 0 goto $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>() , $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" EmptyLines:ignored") , $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z5 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreSurroundingSpaces()>() , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SurroundingSpaces:ignored")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z5 == 0 goto $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SurroundingSpaces:ignored") , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>()
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z6 = virtualinvoke r3.<org.apache.commons.csv.CSVFormat: boolean getIgnoreHeaderCase()>() , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" IgnoreHeaderCase:ignored")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $z6 == 0 goto $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" IgnoreHeaderCase:ignored") , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:")
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r9 = virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" SkipHeaderRecord:") , $z7 = r3.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $z7 = r3.<org.apache.commons.csv.CSVFormat: boolean skipHeaderRecord> , virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(boolean)>($z7)
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , virtualinvoke $r9.<java.lang.StringBuilder: java.lang.StringBuilder append(boolean)>($z7) , $r11 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , $r11 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] headerComments> , if $r11 == null goto $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header>
<org.apache.commons.csv.CSVFormat: boolean isCommentMarkerSet()> , if $r11 == null goto $r12 = r3.<org.apache.commons.csv.CSVFormat: java.lang.String[] header> , virtualinvoke r1.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(32)
